subjid,isExcluded_Rp,isExcluded_Ts,AN_val_meanRT_Rp,AN_inval_meanRT_Rp,AN_val_sdRT_Rp,AN_inval_sdRT_Rp,AN_val_nErrorTrials_Rp,AN_inval_nErrorTrials_Rp,AN_val_nFpTrials_Rp,AN_inval_nFpTrials_Rp,AN_val_nOl1Trials_Rp,AN_inval_nOl1Trials_Rp,AN_val_nOl2Trials_Rp,AN_inval_nOl2Trials_Rp,AN_val_nOmissionTrials_Rp,AN_inval_nOmissionTrials_Rp,AN_val_nHitTrials_Rp,AN_inval_nHitTrials_Rp,AN_val_nCleanTrials_Rp,AN_inval_nCleanTrials_Rp,AN_val_MeanMaxAmp_Rp,AN_inval_MeanMaxAmp_Rp,AN_val_SdMaxAmp_Rp,AN_inval_SdMaxAmp_Rp,HA_val_meanRT_Rp,HA_inval_meanRT_Rp,HA_val_sdRT_Rp,HA_inval_sdRT_Rp,HA_val_nErrorTrials_Rp,HA_inval_nErrorTrials_Rp,HA_val_nFpTrials_Rp,HA_inval_nFpTrials_Rp,HA_val_nOl1Trials_Rp,HA_inval_nOl1Trials_Rp,HA_val_nOl2Trials_Rp,HA_inval_nOl2Trials_Rp,HA_val_nOmissionTrials_Rp,HA_inval_nOmissionTrials_Rp,HA_val_nHitTrials_Rp,HA_inval_nHitTrials_Rp,HA_val_nCleanTrials_Rp,HA_inval_nCleanTrials_Rp,HA_val_MeanMaxAmp_Rp,HA_inval_MeanMaxAmp_Rp,HA_val_SdMaxAmp_Rp,HA_inval_SdMaxAmp_Rp,nRpTrials
VP32,no,no,0.5031,0.65781,0.090836,0.12916,7,0,0,0,3,1,0,0,0,0,73,20,73,20,1308.4521,1398.2965,162.9784,128.3649,0.2524,0.40017,0.17329,0.21421,5,2,0,0,2,0,0,0,0,0,75,18,75,18,88.756,95.459,34.5726,31.1502,200
VP33,no,no,0.65234,0.76992,0.18718,0.25487,2,0,0,0,3,1,1,0,0,0,78,20,78,20,3131.1741,2929.4047,671.8567,574.8251,0.85714,0.83945,0.36658,0.37253,3,0,0,0,2,1,1,1,0,0,77,20,77,20,132.83,127.2273,36.5761,47.3225,200
VP34,no,no,0.8124,1.0708,0.20401,0.30316,4,4,1,1,3,1,1,0,0,0,75,15,76,16,6669.3487,6286.2298,2200.9463,2278.9499,0.27955,0.29384,0.34421,0.39625,11,2,0,0,4,1,0,0,0,0,69,18,69,18,93.8079,92.7226,32.8245,37.1665,200
VP35,no,no,0.62154,0.80301,0.21058,0.17721,10,6,0,0,4,1,0,0,0,0,70,14,70,14,3762.423,3511.6296,1316.2274,1207.316,0.30715,0.51974,0.26692,0.44659,4,1,0,0,3,1,0,0,0,0,76,19,76,19,93.7516,83.8125,48.5403,33.4529,200
VP36,no,yes,0.82722,1.0151,0.31151,0.24242,8,3,3,0,3,0,1,0,0,1,69,16,72,17,2445.3278,2171.8524,1050.5985,641.2086,0.21579,0.26904,0.21901,0.2892,14,4,0,0,3,1,0,0,0,0,66,16,66,16,76.0789,66.8812,23.1218,20.5612,200
VP37,no,no,0.5636,0.90312,0.20178,0.28336,15,3,1,2,4,1,0,0,0,0,64,15,65,17,5342.6114,4428.9059,1655.6031,1964.6236,0.23057,0.34992,0.20903,0.33164,6,1,0,0,2,0,0,0,0,0,74,19,74,19,42.3333,40.6618,12.7866,10.9626,200
VP38,no,no,0.96777,1.141,0.37939,0.40367,2,0,5,0,5,1,1,0,1,0,72,20,78,20,1907.0732,2018.8578,808.1057,429.6586,0.80414,1.0317,0.44702,0.60553,5,2,2,1,2,1,0,0,1,0,72,17,75,18,172.0305,173.185,165.8537,112.4028,200
VP39,no,no,0.58525,0.95683,0.1723,0.27847,11,0,1,1,1,2,1,0,0,0,68,19,69,20,1746.5168,1539.9992,708.9937,587.289,0.20387,0.34722,0.25025,0.38221,7,2,0,0,2,0,0,0,0,0,73,18,73,18,51.1645,67.8654,34.9606,53.2218,200
VP40,no,no,0.86861,1.1832,0.31434,0.32919,12,1,2,0,2,1,1,0,0,1,66,18,68,19,4906.6759,3659.8053,2095.6815,1792.2829,0.24239,0.38759,0.20964,0.34599,3,2,0,0,3,0,0,0,0,0,77,18,77,18,90.1466,96.729,26.5746,39.5492,200
VP41,no,no,0.54767,0.78906,0.50992,0.23202,6,2,5,3,2,1,0,1,0,0,69,15,74,18,1649.7995,1461.5805,627.5037,771.8642,0.21979,0.08676,0.35905,0.19856,5,1,0,0,3,1,0,0,0,0,75,19,75,19,69.2058,68.8029,31.6312,21.0027,200
VP42,no,no,0.66225,0.8088,0.17927,0.26512,11,1,0,0,2,0,0,0,0,0,69,19,69,19,3918.1421,3609.3585,823.0566,730.9274,0.3,0.29297,0.25679,0.31205,15,0,0,0,2,0,0,0,0,0,65,20,65,20,104.844,123.7707,35.8345,51.1836,200
VP43,no,no,0.54364,0.6697,0.095484,0.069351,7,2,3,0,3,0,0,0,0,0,70,18,73,18,827.6149,865.673,292.7622,229.791,0.30653,0.56572,0.1903,0.29405,8,3,0,0,0,1,0,0,0,0,72,17,72,17,153.8185,160.6983,44.3659,40.9366,200
VP44,no,no,0.39019,0.3727,0.14163,0.13528,8,3,0,0,2,1,1,1,0,0,72,17,72,17,453.0033,569.6477,266.6686,392.0049,0.18534,0.25347,0.11438,0.19819,4,2,0,0,0,0,0,0,0,0,76,18,76,18,111.3161,111.1292,59.8162,33.9177,200
VP45,no,no,0.61066,0.61349,0.20328,0.3352,7,1,0,0,2,1,0,0,0,0,73,19,73,19,1551.5973,1606.7785,471.9858,442.7951,0.22203,0.25781,0.18878,0.2275,11,1,0,0,2,0,0,0,0,0,69,19,69,19,110.2465,117.3635,23.1125,28.3903,200
VP46,no,no,0.50996,0.59102,0.16459,0.14263,0,0,0,0,4,1,0,0,0,0,80,20,80,20,2298.2504,2250.6586,612.3925,503.0434,0.36279,0.52187,0.11308,0.15003,0,0,0,0,4,0,1,0,0,0,80,20,80,20,102.4713,110.8451,19.415,19.1286,200
